NGC678/UGC1280;NGC678;UGC1280;12.2;Galaxia SBb;4.1m × 0.8m;1h 49.4m;22º0';Aries
NGC677/UGC1275;NGC677;UGC1275;12.2;Galaxia Elliptical;2m × 2m;1h 49.2m;13º3';Aries
NGC918/UGC1888;NGC918;UGC1888;12.2;Galaxia SBc;3.5m × 2m;2h 25.8m;18º30';Aries
NGC976/UGC2042;NGC976;UGC2042;12.4;Galaxia Sbc;1.6m × 1.3m;2h 34.0m;20º59';Aries
NGC990/UGC2089;NGC990;UGC2089;12.4;Galaxia Elliptical;1.8m × 1.5m;2h 36.3m;11º39';Aries
NGC924/UGC1912;NGC924;UGC1912;12.4;Galaxia SO;2.3m × 1.3m;2h 26.8m;20º30';Aries
NGC1056/UGC2183;NGC1056;UGC2183;12.4;Galaxia Sa;2.4m × 1.1m;2h 42.8m;28º34';Aries
NGC776/UGC1471;NGC776;UGC1471;12.4;Galaxia SBb;1.7m × 1.7m;1h 59.9m;23º39';Aries
NGC938/UGC1947;NGC938;UGC1947;12.4;Galaxia Elliptical;1.6m × 1.2m;2h 28.6m;20º17';Aries
NGC6101/GCL40;NGC6101;GCL40;9.3;Cúmulo Globular X;10.7m;16h 25.8m;-72º12';Apus
IC4499/GCL30;IC4499;GCL30;10.1;Cúmulo Globular XI;7.6m;15h 0.3m;-82º13';Apus
PK315-13.1/He2-131;PK315-13.1;He2-131;11.8;Nebulosa Planetaria ;4.9s;15h 37.2m;-71º55';Apus
NGC5833/ESO42-3;NGC5833;ESO42-3;12.0;Galaxia Sbc;3.1m × 2.3m;15h 11.9m;-72º52';Apus
NGC5967/ESO42-10;NGC5967;ESO42-10;12.0;Galaxia SBc;2.7m × 1.7m;15h 48.3m;-75º40';Apus
NGC5612/ESO22-1;NGC5612;ESO22-1;12.1;Galaxia Sab;1.9m × 1.1m;14h 34.0m;-78º23';Apus
NGC6392/ESO70-12;NGC6392;ESO70-12;12.5;Galaxia Sab;1.3m × 1.3m;17h 43.5m;-69º47';Apus
NGC6209/ESO43-8;NGC6209;ESO43-8;12.6;Galaxia Sbc;2m × 1.6m;16h 55.0m;-72º35';Apus
NGC5967A/ESO42-9;NGC5967A;ESO42-9;13.3;Galaxia SBc;2m × 1.5m;15h 47.0m;-75º47';Apus
PK308-12.1/He2-105;PK308-12.1;He2-105;13.4;Nebulosa Planetaria ;35s;14h 15.5m;-74º13';Apus
NGC6557/ESO45-1;NGC6557;ESO45-1;13.9;Galaxia SO;1.6m × 1.1m;18h 21.4m;-76º35';Apus
NGC5799/ESO67-6;NGC5799;ESO67-6;14.3;Galaxia Sa;1.3m × 0.9m;15h 5.6m;-72º26';Apus
NGC6151;NGC6151;;99.9;Asterismo ;NA;16h 38.4m;-73º15';Apus
NGC1068/M77;NGC1068;M77;8.9;Galaxia Sbp;7.3m × 6.3m;2h 42.7m;0º1';Cetus
NGC247/ESO540-22;NGC247;ESO540-22;9.1;Galaxia SBcd;21m × 5.6m;0h 47.1m;-20º46';Cetus
IC1613/UGC668;IC1613;UGC668;9.2;Galaxia Ir;16.6m × 14.9m;1h 4.9m;2º8';Cetus
NGC936/UGC1929;NGC936;UGC1929;10.1;Galaxia SBO-a;4.3m × 3.8m;2h 27.6m;-1º9';Cetus
NGC720/MCG-2-5-68;NGC720;MCG-2-5-68;10.2;Galaxia E4;4.4m × 2.2m;1h 53.0m;-13º44';Cetus
NGC908/ESO545-11;NGC908;ESO545-11;10.2;Galaxia SBc;6.1m × 2.7m;2h 23.1m;-21º14';Cetus
NGC157/MCG-2-2-56;NGC157;MCG-2-2-56;10.4;Galaxia SBbc;4.1m × 2.7m;0h 34.8m;-8º24';Cetus
NGC246/PK118-74.1;NGC246;PK118-74.1;10.4;Nebulosa Planetaria 3b;240s × 210s;0h 47.1m;-11º52';Cetus
"NGC584/IC1712;HI100";NGC584;IC1712;10.5;Galaxia E4;3.3m × 1.9m;1h 31.3m;-6º52';Cetus
NGC1052/MCG-1-7-34;NGC1052;MCG-1-7-34;10.5;Galaxia Elliptical;2.8m × 2m;2h 41.1m;-8º15';Cetus
"MCG-03-01-015/UGCA444;WLM";MCG-03-01-015;UGCA444;10.6;Galaxia ;11m × 4m;0h 1.9m;-15º27';Cetus
NGC45/UGCA4;NGC45;UGCA4;10.6;Galaxia SBd;7.6m × 5.4m;0h 14.1m;-23º11';Cetus
NGC1055/UGC2173;NGC1055;UGC2173;10.6;Galaxia SBb;7.6m × 3m;2h 41.8m;0º27';Cetus
NGC1087/UGC2245;NGC1087;UGC2245;10.9;Galaxia SBc Ring;3.9m × 2.3m;2h 46.4m;0º30';Cetus
NGC578/ESO476-15;NGC578;ESO476-15;10.9;Galaxia SBc;4.8m × 3m;1h 30.5m;-22º40';Cetus
NGC864/UGC1736;NGC864;UGC1736;10.9;Galaxia SBc;4.7m × 3.2m;2h 15.5m;6º0';Cetus
NGC596/MCG-1-5-5;NGC596;MCG-1-5-5;10.9;Galaxia E2;2.8m × 2.1m;1h 32.9m;-7º2';Cetus
NGC210/MCG-2-2-81;NGC210;MCG-2-2-81;10.9;Galaxia SBb;4.6m × 3.2m;0h 40.6m;-13º52';Cetus
NGC988/MCG-2-7-37;NGC988;MCG-2-7-37;11.0;Galaxia SBc;4.6m × 2.5m;2h 35.5m;-9º21';Cetus
NGC1073/UGC2210;NGC1073;UGC2210;11.0;Galaxia SBc;4.9m × 4.3m;2h 43.7m;1º23';Cetus
NGC5856;NGC5856;;6.0;1 estrella ;NA;15h 7.3m;18º27';Bootes
NGC5466/GCL27;NGC5466;GCL27;9.1;Cúmulo Globular XII;9.2m;14h 5.5m;28º32';Bootes
NGC5248/UGC8616;NGC5248;UGC8616;10.3;Galaxia SBbc;5.9m × 4.5m;13h 37.5m;8º53';Bootes
NGC5557/UGC9161;NGC5557;UGC9161;11.0;Galaxia E1;2.4m × 1.9m;14h 18.4m;36º30';Bootes
NGC5676/UGC9366;NGC5676;UGC9366;11.2;Galaxia Sbc;3.9m × 1.8m;14h 32.8m;49º27';Bootes
NGC5669/UGC9353;NGC5669;UGC9353;11.3;Galaxia SBc;4.2m × 3.4m;14h 32.7m;9º54';Bootes
NGC5582/UGC9188;NGC5582;UGC9188;11.6;Galaxia Elliptical;2.8m × 1.7m;14h 20.7m;39º42';Bootes
NGC5614/UGC9226;NGC5614;UGC9226;11.7;Galaxia Sab;2.4m × 2m;14h 24.1m;34º52';Bootes
NGC5899/UGC9789;NGC5899;UGC9789;11.7;Galaxia SBc;3.3m × 1.4m;15h 15.1m;42º3';Bootes
NGC5656/UGC9332;NGC5656;UGC9332;11.8;Galaxia Sab;1.9m × 1.5m;14h 30.4m;35º19';Bootes
NGC5533/UGC9133;NGC5533;UGC9133;11.8;Galaxia Sab;3.1m × 1.9m;14h 16.1m;35º21';Bootes
NGC5687/UGC9395;NGC5687;UGC9395;11.8;Galaxia Sa;2.5m × 1.9m;14h 34.9m;54º29';Bootes
NGC5529/UGC9127;NGC5529;UGC9127;11.9;Galaxia Sc;6m × 0.7m;14h 15.6m;36º14';Bootes
NGC5689/UGC9399;NGC5689;UGC9399;11.9;Galaxia SBO-a;3.3m × 1m;14h 35.5m;48º44';Bootes
NGC5660/UGC9325;NGC5660;UGC9325;11.9;Galaxia SBc;2.7m × 2.6m;14h 29.8m;49º37';Bootes
NGC5665/UGC9352;NGC5665;UGC9352;12.0;Galaxia SBc;2.1m × 1.3m;14h 32.4m;8º5';Bootes
NGC5739/UGC9486;NGC5739;UGC9486;12.1;Galaxia SBO-a;1.9m × 1.8m;14h 42.5m;41º51';Bootes
NGC5673/UGC9347;NGC5673;UGC9347;12.1;Galaxia SBc;2.4m × 0.6m;14h 31.5m;49º57';Bootes
NGC5523/UGC9119;NGC5523;UGC9119;12.1;Galaxia Sc;4.7m × 1.3m;14h 14.9m;25º19';Bootes
NGC5490/NGC5490A;NGC5490;NGC5490A;12.1;Galaxia E2;2.5m × 2.3m;14h 10.0m;17º33';Bootes
NGC2818/PK261+8.1;NGC2818;PK261+8.1;8.2;Cúmulo Abierto II 2 m n;8m;9h 16.0m;-36º38';Pyxis
NGC2627/OCL714;NGC2627;OCL714;8.4;Cúmulo Abierto III 2 m;11m;8h 37.2m;-29º57';Pyxis
NGC2658/OCL723;NGC2658;OCL723;9.2;Cúmulo Abierto I 2 r :b;10m;8h 43.5m;-32º39';Pyxis
NGC2613/ESO495-18;NGC2613;ESO495-18;10.3;Galaxia Sb;7.1m × 1.6m;8h 33.4m;-22º58';Pyxis
Cr196;Cr196;;10.5;Cúmulo Abierto IV 3 p;5m;8h 45.1m;-31º38';Pyxis
NGC2663/ESO371-14;NGC2663;ESO371-14;10.9;Galaxia Elliptical;3.5m × 2.4m;8h 45.1m;-33º48';Pyxis
PK254+5.1/M3-6;PK254+5.1;M3-6;11.0;Nebulosa Planetaria 2a;19.0s;8h 40.7m;-32º23';Pyxis
NGC2635/OCL728;NGC2635;OCL728;11.2;Cúmulo Abierto I 3 p;3m;8h 38.4m;-34º46';Pyxis
NGC2818A/PK261+8.1;NGC2818A;PK261+8.1;11.9;Nebulosa Planetaria 3b;36s × 36s;9h 16.0m;-36º36';Pyxis
NGC2717/ESO496-21;NGC2717;ESO496-21;12.3;Galaxia E-SO Bar;2.1m × 1.5m;8h 57.0m;-24º40';Pyxis
NGC2888/ESO434-2;NGC2888;ESO434-2;12.6;Galaxia E2;1.5m × 1.1m;9h 26.3m;-28º2';Pyxis
NGC2891/ESO498-8;NGC2891;ESO498-8;12.6;Galaxia E-SO;1.5m × 1.4m;9h 26.9m;-24º47';Pyxis
NGC2821/ESO497-34;NGC2821;ESO497-34;13.0;Galaxia Sbc;2m × 0.5m;9h 16.8m;-26º49';Pyxis
NGC2772/ESO497-14;NGC2772;ESO497-14;13.4;Galaxia Sb;1.5m × 0.9m;9h 7.7m;-23º37';Pyxis
